Matrix, 	cp-rank, 	n²/4, ξ₂, 			ξ₂ᵩ, 		ξ₂ᵩₔ, 		   ξ₂ᵩ + xᵢxⱼ,   
M7,		14,	 	12.0, 4.2182699647636985, 6.109713495002089,  6.956853350600587,  9.6386137347933 
M7tilde,	14,		12.0, 4.669461470939201,  7.585691158254686,  7.620268005095299,  9.448026051273574 
M8tilde,	18,		16.0, 5.567161320707759,  7.929094241470026,  7.932686326387599, 10.227744099116967 
M9tilde,	26,		20.0, 5.707983616369276, 10.348394010248805, 10.603809189019293, 13.556187342261977 
M11tilde,	34,		30.0, 7.780402832910067, 19.007627617719884, 19.090562505327224, 21.927206572619088 
6 × 6 Rᶜᵖ_9 , 	9, 		9.0,  1.744093821728177,  1.7543871542763039, 5.999996664758028,  5.99999866901854 
7 × 7 Rᶜᵖ_10 , 	10, 		12.0, 1.7783943405990064, 1.8071363702812593, 6.9999856161465415, 6.999995619848415 
8 × 8 Rᶜᵖ_8 , 	8, 		16.0, 1.7798662806074417, 1.8089377559197903, 6.999979892198292,  6.999990262125084 
6 × 6 Rᶜᵖ_4 , 	4, 		9.0,  1.9176033264261083, 1.942365734056815,  3.999999986128563,  3.999981831316326 
9 × 9 Rᶜᵖ_6 , 	6, 		20.0, 1.772562995257888,  1.8017347527258225, 5.999986469754528,  5.999999918952325 
6 × 6 Rᶜᵖ_9 , 	9, 		9.0,  1.6321312836194686, 1.6617760681292635, 5.999991970356677,  5.999999960479382 
9 × 9 Rᶜᵖ_7 , 	7, 		20.0, 1.6842195767739223, 1.7003614067804624, 6.999972661657115,  6.999999811042264 
