Matrix, cp-rank,n²/4,     ξ₂ᶜᵖ,      ξ₂ᵩᶜᵖ,\tau^cp_SOS ξ₂ᵩweak⊗ᶜᵖ,  ξ₂ᵩ⊗ᶜᵖ,    ξ₂ᵩ⊗ᶜᵖ + xᵢxⱼ  
6 Rᶜᵖ_37 , 37, ,9.0,       1.66,      1.7373,       1.7373,       6.0,      6.0 
6 Rᶜᵖ_34 , 34, ,9.0,       1.6109,      1.6555,      1.6555,     6.0,      6.0 
6 Rᶜᵖ_39 , 39, ,9.0,       1.568,      1.6136,      1.6136,      6.0,      6.0 
6 Rᶜᵖ_40 , 40, ,9.0,       1.5843,      1.6133,      1.6133,     6.0,      6.0 
6 Rᶜᵖ_36 , 36, ,9.0,       1.5115,      1.5435,      1.5435,     6.0,      6.0 
7 Rᶜᵖ_30 , 30, ,12.0,       1.6734,      1.6981,      1.6981,     7.0,      7.0 
7 Rᶜᵖ_30 , 30, ,12.0,       1.6029,      1.6451,      1.6451,     7.0,      7.0 
7 Rᶜᵖ_30 , 30, ,12.0,       1.6693,      1.7387,      1.7387,     7.0,      7.0 
7 Rᶜᵖ_31 , 31, ,12.0,       1.6752,      1.7286,      1.7286,     7.0,      7.0 
7 Rᶜᵖ_37 , 37, ,12.0,       1.6614,      1.7039,      1.7039,     7.0,      7.0 
8 Rᶜᵖ_34 , 34, ,16.0,       1.6788,      1.7415,      1.7415,     8.0,      8.0 
8 Rᶜᵖ_30 , 30, ,16.0,       1.645,      1.6859,      1.6859,     8.0,      8.0 
8 Rᶜᵖ_38 , 38, ,16.0,       1.7161,      1.7635,      1.7635,     8.0,      8.0 
8 Rᶜᵖ_40 , 40, ,16.0,       1.7008,      1.7249,      1.7249,     8.0,      8.0 
8 Rᶜᵖ_35 , 35, ,16.0,       1.6972,      1.7218,      1.7218,     8.0,      8.0 
9 Rᶜᵖ_40 , 40, ,20.0,       1.6443,      1.7004,      1.7004,     9.0,      9.0 
9 Rᶜᵖ_34 , 34, ,20.0,       1.654,      1.7033,      1.7033,     9.0,      9.0 
9 Rᶜᵖ_32 , 32, ,20.0,       1.6485,      1.7068,      1.7068,     9.0,      9.0 
9 Rᶜᵖ_37 , 37, ,20.0,       1.8697,      1.9154,      1.9154,     9.0,      9.0 
9 Rᶜᵖ_30 , 30, ,20.0,       1.797,      1.8596,      1.8596,     9.0,      9.0 
