Matrix,    cp-rank, n²/4,       ξ₂ᶜᵖ,      ξ₂ᵩᶜᵖ,      ξ₂ᵩweak⊗ᶜᵖ,     ξ₂ᵩ⊗ᶜᵖ,    ξ₂ᵩ⊗ᶜᵖ + xᵢxⱼ  
6 Rᶜᵖ_4 , 	4, ,9.0,       1.8215,      1.8215,      1.8215,      4.0,      4.0 

6 Rᶜᵖ_6 , 	6, ,9.0,       1.9925,      2.0288,      2.0288,      5.9998,   5.9996   ERROR

6 Rᶜᵖ_9 , 	9, ,9.0,       1.8131,       1.8557,      1.8557,     6.0,      6.0 
6 Rᶜᵖ_4 , 	4, ,9.0,       1.9513,       1.9706,      1.9706,     4.0,      4.0 
6 Rᶜᵖ_11 , 	11, ,9.0,       1.6832,      1.7159,      1.7159,     6.0,      6.0 
7 Rᶜᵖ_5 , 	5, ,12.0,       1.4339,      1.4351,      1.4351,     5.0,      5.0 
7 Rᶜᵖ_11 , 	11, ,12.0,      1.789,       1.8411,      1.841,      7.0,      7.0 
7 Rᶜᵖ_9 , 	9, ,12.0,       1.7214,      1.7669,      1.7669,     7.0,      7.0 
7 Rᶜᵖ_10 , 	10, ,12.0,      1.6028,      1.6373,      1.6373,     7.0,      7.0 
7 Rᶜᵖ_8 , 	8, ,12.0,       1.8092,      1.8243,      1.8243,     7.0,      7.0 
8 Rᶜᵖ_4 , 	4, ,16.0,       1.97,        2.0017,      2.0017,     4.0,      4.0 
8 Rᶜᵖ_6 , 	6, ,16.0,       1.8215,      1.8482,      1.8482,     6.0,      6.0 
8 Rᶜᵖ_9 , 	9, ,16.0,       1.7746,      1.8098,      1.8098,     8.0,      8.0 
8 Rᶜᵖ_7 , 	7, ,16.0,       1.6686,      1.7042,      1.7042,     6.9938,   6.9994 
8 Rᶜᵖ_6 , 	6, ,16.0,       1.7014,      1.7241,      1.7241,     6.0,      6.0 


9 Rᶜᵖ_9 , 	9, ,20.0,       1.9526,      2.04,        2.04,       8.527,    8.43 ERROR


9 Rᶜᵖ_8 , 	8, ,20.0,       1.8781,      1.9068,      1.9068,     8.0,      8.0 
9 Rᶜᵖ_10 , 	10, ,20.0,       1.713,      1.7194,      1.7194,     8.9963,   8.9967 
9 Rᶜᵖ_11 , 	11, ,20.0,       2.0127,     2.0609,      2.0609,     8.9998,   9.0 
9 Rᶜᵖ_11 , 	11, ,20.0,       1.733,      1.7857,      1.7857,     9.0,      9.0 
