Matrix,      cp-rank,    n²/4,  ξ₂ᶜᵖ,      ξ₂ᵩᶜᵖ,      ξ₂ᵩweak⊗ᶜᵖ,     ξ₂ᵩ⊗ᶜᵖ,    ξ₂ᵩ⊗ᶜᵖ + xᵢxⱼ  
(1)-6 Rcp_6,   ___     ,9.0,       1.7226,      1.7388,      1.7388,     6.0,      6.0 
(10)-6 Rcp_20, ___     ,9.0,       1.7413,      1.7653,      1.7653,     6.0,      6.0 
(11)-7 Rcp_6, ___     ,12.0,       1.6681,      1.6839,      1.6839,     6.0,      5.9999 
(12)-7 Rcp_12, ___     ,12.0,       1.871,      1.9064,      1.9064,     7.0,      7.0 
(13)-7 Rcp_23, ___     ,12.0,       1.7682,      1.8279,      1.8279,     7.0,      7.0 
(14)-7 Rcp_15, ___     ,12.0,       1.6588,      1.6868,      1.6868,     7.0,      7.0 
(15)-7 Rcp_11, ___     ,12.0,       1.6823,      1.7232,      1.7232,     7.0,      7.0 
(16)-7 Rcp_22, ___     ,12.0,       1.7335,      1.7953,      1.7953,     7.0,      7.0 
(17)-7 Rcp_19, ___     ,12.0,       1.7127,      1.7272,      1.7272,     7.0,      7.0 
(18)-7 Rcp_26, ___     ,12.0,       1.5941,      1.617,      1.617,     7.0,      7.0 
(19)-7 Rcp_28, ___     ,12.0,       1.5782,      1.6165,      1.6165,     7.0,      7.0 
(2)-6 Rcp_14, ___     ,9.0,       1.7677,      1.8272,      1.8272,     6.0,      6.0 
(20)-7 Rcp_28, ___     ,12.0,       1.5975,      1.6357,      1.6357,     7.0,      7.0 
(21)-8 Rcp_21, ___     ,16.0,       1.6131,      1.6477,      1.6477,     8.0,      8.0 
(22)-8 Rcp_15, ___     ,16.0,       1.7998,      1.8552,      1.8552,     8.0,      8.0 
(23)-8 Rcp_28, ___     ,16.0,       1.6777,      1.7412,      1.7412,     8.0,      8.0 
(24)-8 Rcp_29, ___     ,16.0,       1.7058,      1.7425,      1.7425,     8.0,      8.0 
(25)-8 Rcp_19, ___     ,16.0,       1.7319,      1.7825,      1.7825,     8.0,      8.0 
(26)-8 Rcp_5, ___     ,16.0,       1.8765,      1.9086,      1.9086,     5.0,      5.0 
(27)-8 Rcp_4, ___     ,16.0,       1.7849,      1.7849,      1.7849,     4.0,      4.0 
(28)-8 Rcp_4, ___     ,16.0,       1.8611,      1.8849,      1.8849,     4.0,      4.0 
(29)-8 Rcp_7, ___     ,16.0,       1.9233,      1.9748,      1.9748,     6.8739,      6.7404 
(3)-6 Rcp_23, ___     ,9.0,       1.647,      1.6738,      1.6738,     6.0,      6.0 
(30)-8 Rcp_21, ___     ,16.0,       1.8002,      1.8651,      1.8651,     8.0,      8.0 
(31)-9 Rcp_16, ___     ,20.0,       1.6722,      1.7243,      1.7243,     9.0,      9.0 
(32)-9 Rcp_5, ___     ,20.0,       1.6951,      1.7093,      1.7093,     5.0,      5.0 
(33)-9 Rcp_24, ___     ,20.0,       1.764,      1.8178,      1.8178,     9.0,      9.0 
(34)-9 Rcp_28, ___     ,20.0,       1.7347,      1.7575,      1.7575,     9.0,      9.0 
(35)-9 Rcp_17, ___     ,20.0,       1.7727,      1.8039,      1.8039,     9.0,      9.0 
(36)-9 Rcp_29, ___     ,20.0,       1.7435,      1.8131,      1.8131,     9.0,      9.0 
(37)-9 Rcp_15, ___     ,20.0,       1.7201,      1.7387,      1.7387,     9.0,      9.0 
(38)-9 Rcp_9, ___     ,20.0,       1.7642,      1.7982,      1.7982,     8.0581,      8.0683 
(39)-9 Rcp_22, ___     ,20.0,       1.6708,      1.7012,      1.7012,     9.0,      9.0 
(4)-6 Rcp_7, ___     ,9.0,       1.856,      1.8879,      1.8879,     6.0,      6.0 
(40)-9 Rcp_4, ___     ,20.0,       1.9467,      1.9587,      1.9587,     4.0,      4.0 
(5)-6 Rcp_29, ___     ,9.0,       1.5232,      1.5598,      1.5598,     6.0,      6.0 
(6)-6 Rcp_8, ___     ,9.0,       1.8829,      1.9116,      1.9116,     6.0,      6.0 
(7)-6 Rcp_30, ___     ,9.0,       1.6225,      1.6805,      1.6805,     6.0,      6.0 
(8)-6 Rcp_21, ___     ,9.0,       1.631,      1.6603,      1.6603,     6.0,      6.0 
(9)-6 Rcp_26, ___     ,9.0,       1.569,      1.5915,      1.5915,     6.0,      6.0 
