Matrix,    cp-rank,         n²/4,      ξ₂ᶜᵖ,      ξ₂ᵩᶜᵖ,      ξ₂ᵩweak⊗ᶜᵖ,     ξ₂ᵩ⊗ᶜᵖ,    ξ₂ᵩ⊗ᶜᵖ + xᵢxⱼ  
error-(1)-6 DDSNN, ___     ,9.0,       4.73,      5.4182,      5.4182,        6.0,      6.0 
error-(10)-6 DDSNN, ___     ,9.0,       5.069,      5.6142,      5.6142,      6.0,      6.0 
error-(11)-7 DDSNN, ___     ,12.0,       5.687,      6.4353,      6.4353,     7.0,      7.0 
error-(12)-7 DDSNN, ___     ,12.0,       5.5793,      6.4764,      6.4764,     7.0,      7.0 
error-(13)-7 DDSNN, ___     ,12.0,       5.5472,      6.4046,      6.4046,     7.0,      7.0 
error-(14)-7 DDSNN, ___     ,12.0,       5.6783,      6.505,      6.505,      7.0,      7.0 
error-(15)-7 DDSNN, ___     ,12.0,       5.2214,      6.3031,      6.3031,     7.0,      7.0 
error-(16)-7 DDSNN, ___     ,12.0,       6.0061,      6.607,      6.607,     7.0,      7.0 
error-(17)-7 DDSNN, ___     ,12.0,       5.6659,      6.5472,      6.5472,     7.0,      7.0 
error-(18)-7 DDSNN, ___     ,12.0,       5.3759,      6.3872,      6.3872,     7.0,      7.0 
error-(19)-7 DDSNN, ___     ,12.0,       5.7318,      6.5336,      6.5336,     7.0,      7.0 
error-(2)-6 DDSNN, ___     ,9.0,       4.3939,      5.1912,      5.1912,     6.0,      6.0 
error-(20)-7 DDSNN, ___     ,12.0,       5.4015,      6.3861,      6.3861,     7.0,      7.0 
error-(21)-8 DDSNN, ___     ,16.0,       7.0766,      7.6108,      7.6108,     8.0,      8.0 
error-(22)-8 DDSNN, ___     ,16.0,       6.483,      7.5369,      7.5369,     8.0,      8.0 
error-(23)-8 DDSNN, ___     ,16.0,       6.7263,      7.6563,      7.6563,     8.0,      8.0 
error-(24)-8 DDSNN, ___     ,16.0,       6.8823,      7.7022,      7.7022,     8.0,      8.0 
error-(25)-8 DDSNN, ___     ,16.0,       6.6517,      7.5685,      7.5685,     8.0,      8.0 
error-(26)-8 DDSNN, ___     ,16.0,       6.3411,      7.5144,      7.5144,     8.0,      8.0 
error-(27)-8 DDSNN, ___     ,16.0,       6.5971,      7.5518,      7.5518,     8.0,      8.0 
error-(28)-8 DDSNN, ___     ,16.0,       6.5553,      7.5307,      7.5307,     8.0,      8.0 
error-(29)-8 DDSNN, ___     ,16.0,       7.0916,      7.6168,      7.6168,     8.0,      8.0 
error-(3)-6 DDSNN, ___     ,9.0,       4.8283,      5.5138,      5.5138,     6.0,      6.0 
error-(30)-8 DDSNN, ___     ,16.0,       6.4377,      7.5062,      7.5062,     8.0,      8.0 
error-(31)-9 DDSNN, ___     ,20.0,       7.7077,      8.614,      8.614,     9.0,      9.0 
error-(32)-9 DDSNN, ___     ,20.0,       7.4522,      8.6211,      8.6211,     9.0,      9.0 
error-(33)-9 DDSNN, ___     ,20.0,       7.1242,      8.4852,      8.4852,     9.0,      9.0 
error-(34)-9 DDSNN, ___     ,20.0,       7.8372,      8.6067,      8.6067,     9.0,      9.0 
error-(35)-9 DDSNN, ___     ,20.0,       7.0593,      8.4801,      8.4801,     9.0,      9.0 
error-(36)-9 DDSNN, ___     ,20.0,       7.4227,      8.5927,      8.5927,     9.0,      9.0 
error-(37)-9 DDSNN, ___     ,20.0,       7.1998,      8.5245,      8.5245,     9.0,      9.0 
error-(38)-9 DDSNN, ___     ,20.0,       7.1888,      8.5238,      8.5238,     9.0,      9.0 
error-(39)-9 DDSNN, ___     ,20.0,       7.2788,      8.5404,      8.5404,     9.0,      9.0 
error-(4)-6 DDSNN, ___     ,9.0,       4.5917,      5.3174,      5.3174,     6.0,      6.0 
error-(40)-9 DDSNN, ___     ,20.0,       7.8138,      8.6731,      8.6731,     9.0,      9.0 
error-(5)-6 DDSNN, ___     ,9.0,       4.5703,      5.3502,      5.3502,     6.0,      6.0 
error-(6)-6 DDSNN, ___     ,9.0,       4.6945,      5.3941,      5.3941,     6.0,      6.0 
error-(7)-6 DDSNN, ___     ,9.0,       4.9617,      5.5084,      5.5084,     6.0,      6.0 
error-(8)-6 DDSNN, ___     ,9.0,       4.8106,      5.4826,      5.4826,     6.0,      6.0 
error-(9)-6 DDSNN, ___     ,9.0,       4.6016,      5.3498,      5.3498,     6.0,      6.0 
