Matrix,    cp-rank,    n²/4,  ξ₂ᶜᵖ,      ξ₂ᵩᶜᵖ,      ξ₂ᵩweak⊗ᶜᵖ,     ξ₂ᵩ⊗ᶜᵖ,    ξ₂ᵩ⊗ᶜᵖ + xᵢxⱼ  
(1)-6 SNN, ___     ,9.0,       1.2711,      4.885,      3.4773,     0.0,      0.0 
(10)-6 SNN, ___     ,9.0,       1.2899,      4.2051,      3.1217,     0.0,      0.0 
(11)-7 SNN, ___     ,12.0,       0.8428,      2.4644,      2.6131,     0.0,      0.0 
(12)-7 SNN, ___     ,12.0,       0.1729,      0.5245,      0.4908,     0.0,      0.0 
(13)-7 SNN, ___     ,12.0,       1.4809,      5.1862,      5.8924,     0.0,      0.0 
(14)-7 SNN, ___     ,12.0,       0.5457,      1.9191,      2.1569,     0.0,      0.0 
(15)-7 SNN, ___     ,12.0,       0.3382,      1.1036,      1.0622,     0.0,      0.0 
(16)-7 SNN, ___     ,12.0,       1.0897,      3.202,      2.9955,     0.0,      0.0 
(17)-7 SNN, ___     ,12.0,       1.445,      4.6622,      4.6504,     0.0,      0.0 
(18)-7 SNN, ___     ,12.0,       1.2361,      3.4177,      3.1242,     0.0,      0.0 
(19)-7 SNN, ___     ,12.0,       0.9079,      4.094,      3.2388,     0.0,      0.0 
(2)-6 SNN, ___     ,9.0,       1.4174,      4.4894,      2.8762,     0.0,      0.0 
(20)-7 SNN, ___     ,12.0,       0.9881,      4.0065,      3.2389,     0.0,      0.0 
(21)-8 SNN, ___     ,16.0,       1.5085,      8.239,      5.5198,     0.0,      0.0 
(22)-8 SNN, ___     ,16.0,       0.765,      3.283,      2.6099,     0.0,      0.0 
(23)-8 SNN, ___     ,16.0,       0.6536,      2.6903,      2.1946,     0.0,      0.0 
(24)-8 SNN, ___     ,16.0,       1.1803,      5.0731,      5.6025,     0.0,      0.0 
(25)-8 SNN, ___     ,16.0,       0.5625,      2.8337,      3.0188,     0.0,      0.0 
(26)-8 SNN, ___     ,16.0,       0.6685,      2.2923,      2.1512,     0.0,      0.0 
(27)-8 SNN, ___     ,16.0,       0.6077,      1.6724,      2.0449,     0.0,      0.0 
(28)-8 SNN, ___     ,16.0,       0.6912,      2.6319,      2.6748,     0.0,      0.0 
(29)-8 SNN, ___     ,16.0,       1.4249,      6.9829,      5.5578,     0.0,      0.0 
(3)-6 SNN, ___     ,9.0,       1.6249,      3.8594,      2.7202,     0.0,      0.0 
(30)-8 SNN, ___     ,16.0,       1.155,      4.8577,      4.0548,     0.0,      0.0 
(31)-9 SNN, ___     ,20.0,       1.1568,      5.537,      5.3543,     0.0,      0.0 
(32)-9 SNN, ___     ,20.0,       0.5117,      1.8557,      1.8812,     0.0,      0.0 
(33)-9 SNN, ___     ,20.0,       0.4906,      2.2795,      2.0337,     0.0,      0.0 
(34)-9 SNN, ___     ,20.0,       0.5565,      2.7127,      2.4846,     0.0,      0.0 
(35)-9 SNN, ___     ,20.0,       0.8482,      3.3622,      3.5729,     0.0,      0.0 
(36)-9 SNN, ___     ,20.0,       1.0193,      5.6449,      5.3782,     0.0,      0.0 
(37)-9 SNN, ___     ,20.0,       0.406,      1.5601,      1.6294,     0.0,      0.0 
(38)-9 SNN, ___     ,20.0,       0.7542,      3.6365,      3.6025,     0.0,      0.0 
(39)-9 SNN, ___     ,20.0,       0.7236,      3.842,      3.1055,     0.0,      0.0 
(4)-6 SNN, ___     ,9.0,       1.1864,      4.1554,      3.0781,     0.0,      0.0 
(40)-9 SNN, ___     ,20.0,       0.6506,      3.18,      2.0492,     0.0,      0.0 
(5)-6 SNN, ___     ,9.0,       1.889,      4.6344,      4.5964,     0.0,      0.0 
(6)-6 SNN, ___     ,9.0,       0.901,      2.5674,      2.4618,     0.0,      0.0 
(7)-6 SNN, ___     ,9.0,       1.1215,      4.0643,      3.1668,     0.0,      0.0 
(8)-6 SNN, ___     ,9.0,       0.7931,      2.4692,      2.3875,     0.0,      0.0 
(9)-6 SNN, ___     ,9.0,       0.5293,      1.5108,      1.5266,     0.0,      0.0 
